playerid,player,id,name
328395,Ryan Izzo,13847,"Izzo, Ryan"
37006,Jeremy McNichols,13143,"McNichols, Jeremy"
328706,Russell Gage,13809,"Gage, Russell"
981965,Justice Hill,14086,"Hill, Justice"
1844486,De'Michael Harris,15149,"Harris, De'Michael"
328180,James Washington,13631,"Washington, James"
1844097,J.K. Dobbins,14800,"Dobbins, J.K."
18516,Kyle Juszczyk,11367,"Juszczyk, Kyle"
16911,Jack Doyle,11516,"Doyle, Jack"
328364,Mike Gesicki,13672,"Gesicki, Mike"
18124,Sammy Watkins,11670,"Watkins, Sammy"
1849838,Freddie Swain,14865,"Swain, Freddie"
36981,Jeremy Sprinkle,13194,"Sprinkle, Jeremy"
37024,Gehrig Dieter,13179,"Dieter, Gehrig"
12896,Julio Jones,10271,"Jones, Julio"
1849783,Van Jefferson,14858,"Jefferson, Van"
18364,Ted Ginn,8673,"Ginn Jr., Ted"
1844403,Devin Asiasi,14936,"Asiasi, Devin"
36892,Jason Croom,13890,"Croom, Jason"
1844335,Reggie Gilliam,15103,"Gilliam, Reggie"
36872,Jamaal Williams,13139,"Williams, Jamaal"
35625,Jaydon Mickens,13510,"Mickens, Jaydon"
328793,Justin Watson,13776,"Watson, Justin"
982054,Benny Snell,14072,"Snell, Benny"
1849843,DeeJay Dallas,14815,"Dallas, DeeJay"
982727,Hunter Renfrow,14123,"Renfrow, Hunter"
35483,Jakeem Grant,12814,"Grant, Jakeem"
11615,Ben Roethlisberger,7401,"Roethlisberger, Ben"
37069,George Kittle,13299,"Kittle, George"
35610,Andy Janovich,12806,"Janovich, Andy"
36923,Deshaun Watson,13113,"Watson, Deshaun"
1849791,Xavier Jones,14818,"Jones, Xavier"
11793,Jimmy Graham,9925,"Graham, Jimmy"
35578,J.D. McKissic,13108,"McKissic, J.D."
328362,Kalen Ballage,13621,"Ballage, Kalen"
18108,Richard Rodgers,11785,"Rodgers, Richard"
35673,Jared Goff,12611,"Goff, Jared"
16537,Giovani Bernard,11193,"Bernard, Giovani"
472108,Jaeden Graham,14464,"Graham, Jaeden"
18113,Jerick McKinnon,11761,"McKinnon, Jerick"
1844306,Justin Jefferson,14836,"Jefferson, Justin"
21710,Jamison Crowder,12184,"Crowder, Jamison"
1844244,D'Andre Swift,14797,"Swift, D'Andre"
1844649,Noah Togiai,15080,"Togiai, Noah"
13584,Alshon Jeffery,10722,"Jeffery, Alshon"
973101,Josh Jacobs,14073,"Jacobs, Josh"
11791,Rob Gronkowski,9902,"Gronkowski, Rob"
36837,Cethan Carter,13369,"Carter, Cethan"
1844098,James Proche,14848,"Proche, James"
18373,Garrett Gilbert,11854,"Gilbert, Garrett"
18136,Jimmy Garoppolo,11760,"Garoppolo, Jimmy"
11613,Matthew Stafford,9431,"Stafford, Matthew"
1055342,Gunner Olszewski,14555,"Olszewski, Gunner"
982820,Nsimba Webster,14549,"Webster, Nsimba"
12162,Larry Fitzgerald,7393,"Fitzgerald, Larry"
18126,Jarvis Landry,11680,"Landry, Jarvis"
1849814,Charlie Woerner,14984,"Woerner, Charlie"
328488,Jordan Wilkins,13789,"Wilkins, Jordan"
